,City,Lat,Temp,Humidity,Cloudiness,Winds
0,moose factory,51.26,2.0,93,90,2.1
1,lagoa,37.14,22.0,88,0,3.6
2,bluff,-23.58,18.51,88,0,3.25
3,portland,45.52,14.66,77,90,1.5
4,tasiilaq,65.61,2.0,64,88,14.9
5,georgetown,6.8,29.91,67,20,3.55
6,tuktoyaktuk,69.44,-7.0,79,5,4.6
7,fort nelson,58.81,0.0,62,90,2.1
8,mahebourg,-20.41,21.0,88,20,3.1
9,souillac,45.6,14.45,87,90,8.2
10,sarankhola,22.31,23.96,100,0,1.4
11,san quintin,17.54,19.51,87,24,1.7
12,cockburn town,21.46,31.0,74,40,9.3
13,mareeba,-16.99,23.0,88,40,1.5
14,harrison,39.26,30.51,53,1,5.1
15,saint-joseph,43.56,18.37,82,90,1.6
16,lebu,8.96,17.0,39,75,4.1
17,mataura,-46.19,8.21,100,92,5.25
18,puerto ayora,-0.74,27.0,51,0,9.8
19,busselton,-33.64,13.36,100,44,7.65
20,qaanaaq,77.48,-8.14,100,0,5.8
21,rikitea,-23.12,20.71,100,100,10.3
22,punta arenas,-53.16,12.0,82,20,15.4
23,rocky mountain house,52.38,9.06,46,8,1.2
24,pevek,69.7,2.01,100,68,1.5
25,callaguip,18.07,20.91,100,0,1.65
26,bukama,-9.2,23.46,75,80,0.75
27,viedma,-40.81,26.51,28,32,7.7
28,almaznyy,48.03,2.61,73,0,1.6
29,soyo,-6.13,24.26,85,48,2.05
30,sao filipe,14.9,27.36,91,0,3.95
31,vila franca do campo,37.72,21.0,88,40,6.7
32,conceicao do araguaia,-8.26,25.76,93,88,1.7
33,coihaique,-45.58,11.0,53,75,3.6
34,cidreira,-30.17,16.91,71,12,6.9
35,klaksvik,62.23,7.0,65,88,6.7
36,kieta,-6.22,25.96,100,44,2.1
37,marsh harbour,26.54,28.81,97,0,6.05
38,hauknes,66.28,-0.09,100,88,1.05
39,yima,34.75,9.06,83,44,1.05
40,tevaitoa,-16.78,25.96,99,0,5.05
41,praia da vitoria,38.73,20.0,88,75,11.7
42,kodiak,39.95,11.1,96,90,5.1
43,cape town,-33.93,20.0,68,0,9.3
44,bredasdorp,-34.53,19.0,82,64,3.6
45,hithadhoo,-0.6,27.71,100,68,8.95
46,hobart,-42.88,10.0,87,75,0.5
47,hermanus,-34.42,14.51,89,20,3.4
48,avarua,-21.21,25.0,61,20,6.2
49,sinop,42.03,18.11,100,0,6.25
50,izazi,-7.24,18.36,80,0,1.65
51,ust-maya,60.42,-6.09,91,32,1.45
52,ancud,-41.87,9.56,78,92,4.0
53,saskylakh,71.97,3.71,91,92,3.05
54,samokov,41.68,15.0,67,0,0.7
55,katsuura,33.93,22.01,89,48,3.45
56,kapaa,22.08,28.13,74,90,1.5
57,songjianghe,42.18,-0.59,69,0,1.15
58,kavaratti,10.57,26.46,100,48,2.35
59,yar-sale,66.83,6.86,100,92,4.2
60,ende,-8.84,25.91,100,0,1.35
61,dikson,73.51,3.61,99,88,5.1
62,bambous virieux,-20.34,21.0,88,20,3.1
63,muzhi,65.4,4.86,93,92,1.65
64,butaritari,3.07,28.91,100,0,3.5
65,nikolskoye,59.7,9.0,81,0,2.0
66,ushuaia,-54.81,11.0,77,40,5.1
67,albany,42.65,16.25,77,90,2.1
68,tazovskiy,67.47,6.81,88,20,5.2
69,itacare,-14.28,27.0,69,40,4.1
70,port elizabeth,39.31,21.54,84,90,2.1
71,solnechnyy,50.72,4.06,96,80,1.95
72,san carlos,9.66,29.11,81,24,0.85
73,bedford,52.14,8.18,100,40,6.2
74,esperance,10.24,28.0,83,20,3.1
75,touros,-5.2,26.31,78,24,7.0
76,ilulissat,69.22,2.0,51,8,5.1
77,walvis bay,-22.95,13.0,87,0,4.6
78,kumluca,36.37,8.86,87,0,0.65
79,hilo,19.71,22.12,93,90,2.1
80,bowen,-20.01,16.0,100,8,2.1
81,suntar,62.16,-6.29,86,0,1.55
82,hambantota,6.12,26.01,100,56,4.2
83,geraldton,49.72,3.0,86,75,3.1
84,severo-kurilsk,50.68,8.06,91,64,7.35
85,stephenville,32.22,31.42,50,40,5.1
86,saint george,39.45,12.0,93,20,1.4
87,thompson,55.74,2.0,80,75,3.1
88,fairbanks,64.84,3.93,14,90,1.95
89,vaini,15.34,22.71,79,24,2.05
90,mbini,1.58,24.0,100,40,3.1
91,khuzhir,53.19,0.51,100,0,6.6
92,iqaluit,63.75,-2.0,68,90,9.8
93,coquimbo,-29.95,13.0,82,75,4.6
94,mana,43.52,13.46,76,0,1.0
95,jamestown,-33.21,10.11,65,0,2.55
96,lompoc,34.64,23.25,36,1,5.7
97,bethel,60.79,8.9,86,90,4.1
98,rosetta,31.4,24.0,64,40,5.7
99,castro,-42.48,9.86,78,88,4.05
100,sitka,37.17,9.21,100,92,4.3
101,salinopolis,-0.61,27.71,93,48,6.15
102,umm lajj,25.02,25.61,100,24,2.35
103,manjeshwar,12.72,26.0,88,75,1.5
104,ahuimanu,21.44,26.64,83,90,2.05
105,new norfolk,-42.78,10.0,87,75,0.5
106,senno,57.76,10.0,81,24,3.0
107,grand gaube,-20.01,21.0,88,20,3.1
108,port alfred,-33.59,19.71,94,36,5.35
109,san patricio,-26.98,22.01,70,12,1.05
110,mar del plata,-46.43,19.76,32,0,6.8
111,huntington,38.42,27.8,67,75,3.6
112,oparino,59.85,5.21,97,92,3.55
113,borogontsy,62.67,-5.74,86,12,2.0
114,manicore,-5.81,34.86,38,12,0.8
115,port macquarie,-31.43,14.0,76,75,3.6
116,quatre cocos,-20.21,21.0,88,20,3.1
117,douglas,31.34,27.8,2,1,7.2
118,bonavista,48.65,9.51,91,0,4.65
119,havoysund,71.0,2.0,99,88,7.7
120,kawalu,-7.38,18.46,100,88,0.85
121,saint-philippe,45.36,11.4,87,90,4.1
122,uchiza,-8.46,23.76,89,64,1.05
123,kirkuk,35.47,25.51,27,12,7.8
124,soron,27.89,21.71,64,0,0.85
125,paamiut,61.99,4.41,94,64,8.95
126,komsomolskiy,67.55,0.81,98,88,2.2
127,laguna,27.52,34.0,44,20,3.6
128,ternate,14.29,27.0,94,40,2.4
129,santa cruz,36.97,20.67,72,75,6.2
130,pangnirtung,66.15,-4.44,97,8,5.2
131,east wenatchee bench,47.43,15.59,51,1,4.1
132,rio gallegos,-51.62,15.0,41,75,5.3
133,nome,30.04,29.6,68,75,4.15
134,maxixe,-23.86,19.71,100,0,4.6
135,orlik,52.51,-12.54,67,0,0.85
136,margate,-43.03,10.0,87,75,0.5
137,isangel,-19.55,23.26,100,0,3.65
138,clyde river,70.47,-2.0,92,90,12.9
139,san bartolo,15.08,28.0,74,75,2.1
140,mehamn,71.03,2.71,96,76,5.15
141,tiksi,71.64,-4.04,93,36,7.1
142,los llanos de aridane,28.66,23.0,83,0,5.1
143,nabire,-3.36,19.66,94,48,0.95
144,jalu,29.03,25.96,38,0,3.5
145,lima,-12.06,19.46,67,44,1.3
146,lixourion,38.2,19.0,93,40,2.75
147,uyskoye,54.37,0.01,87,8,4.55
148,calhoun,34.5,31.23,46,1,1.4
149,haines junction,60.75,4.06,65,0,1.2
150,kloulklubed,7.04,25.0,94,75,4.2
151,carauari,-4.88,31.06,68,56,1.15
152,vanimo,-2.67,26.61,100,24,0.75
153,whitianga,-36.83,14.76,100,64,1.6
154,chokurdakh,70.62,-1.89,97,76,3.15
155,ribeira grande,38.52,19.0,82,75,9.3
156,rawson,-43.3,23.01,20,88,6.2
157,faya,18.39,19.51,25,0,4.1
158,alipur,29.38,22.81,63,0,0.75
159,matagami,9.67,19.86,96,32,0.95
160,talnakh,69.49,7.76,85,100,5.65
161,aneho,6.23,27.0,88,40,4.6
162,waddan,29.16,26.96,31,76,4.3
163,narsaq,60.91,2.0,74,75,2.6
164,lavrentiya,65.58,7.16,91,92,7.2
165,marystown,47.17,11.06,75,0,3.55
166,airai,-8.93,14.36,68,0,0.7
167,cabo san lucas,22.89,31.54,62,5,1.55
168,camacha,33.08,22.0,83,20,3.1
169,palmer,-34.85,14.0,67,0,2.6
170,patacamaya,-17.23,9.96,98,92,1.3
171,cayenne,4.94,31.0,66,0,4.6
172,anadyr,64.73,7.0,81,20,2.0
173,yellowknife,62.45,0.0,100,75,5.1
174,salalah,17.01,24.0,57,0,2.6
175,boras,57.72,6.54,81,90,1.0
176,lucea,18.44,29.0,66,40,2.1
177,wattegama,7.35,21.91,96,76,1.15
178,biharamulo,-2.64,16.91,80,8,1.8
179,kostino,41.7,12.0,76,0,4.1
180,port pirie,-33.18,10.0,66,0,2.6
181,east london,-33.02,20.71,100,8,6.9
182,saint-pierre,48.95,18.1,77,68,2.1
183,kahului,20.89,29.36,66,40,2.6
184,rach gia,10.02,23.86,100,88,2.0
185,khasan,42.43,11.76,100,0,7.1
186,ronneby,56.21,11.0,93,92,1.0
187,jasper,33.83,32.35,36,1,1.6
188,ponta delgada,37.73,21.0,88,40,6.7
189,iberia,-11.41,30.51,59,8,1.3
190,davila,18.47,26.01,100,12,5.25
191,jinchang,38.52,-1.24,79,36,0.85
192,vanavara,60.35,-0.19,93,24,1.3
193,upernavik,72.79,-0.14,100,88,6.2
194,opuwo,-18.06,22.86,26,48,2.05
195,sinnamary,5.38,28.21,91,0,4.55
196,worland,44.02,13.9,38,1,2.1
197,batemans bay,-35.71,11.21,100,88,3.45
198,nuuk,64.17,1.0,80,75,1.5
199,longyearbyen,78.22,-5.0,92,75,1.5
200,bagdarin,54.44,-3.44,54,80,3.85
201,leshukonskoye,64.9,4.11,95,80,2.85
202,hamilton,32.3,27.0,65,20,3.1
203,carnarvon,-30.97,11.56,13,0,1.85
204,luganville,-15.51,23.96,100,92,3.2
205,tangping,33.69,8.76,91,88,0.75
206,honningsvag,70.98,3.21,100,64,5.7
207,goianesia,-15.32,24.01,81,64,1.65
208,nemuro,43.32,13.21,100,92,12.85
209,sola,58.89,7.57,75,20,4.1
210,banjar,-7.37,21.11,96,56,0.95
211,martapura,-3.41,25.11,100,20,2.8
212,havre-saint-pierre,50.23,5.0,60,90,4.6
213,bandarbeyla,9.49,25.11,94,0,5.45
214,houma,35.63,8.76,73,56,1.05
215,richards bay,-28.77,13.76,97,0,1.65
216,beringovskiy,63.05,7.76,99,64,9.15
217,bone,-5.29,22.61,96,0,2.75
218,ponta do sol,-20.63,18.86,100,92,1.15
219,xining,36.62,1.56,98,92,1.4
220,barrow,-38.31,22.76,36,0,8.95
221,kedrovyy,56.17,0.0,67,0,2.7
222,arroyo,41.39,23.51,93,90,3.1
223,gisborne,-38.66,13.96,82,36,2.65
224,biltine,14.53,27.46,25,24,4.2
225,sangerhausen,51.47,16.49,67,0,2.1
226,oranjemund,-28.55,14.06,95,36,1.0
227,hasaki,35.73,25.0,78,20,4.6
228,gat,14.69,29.06,75,0,1.6
229,swan hill,-35.34,13.16,53,12,2.3
230,san andres,13.32,26.66,100,56,1.4
231,godda,24.83,22.11,86,24,0.7
232,humberto de campos,-2.6,27.31,87,8,6.95
233,chor,25.52,24.61,50,0,1.2
234,sisimiut,66.94,-4.69,100,36,0.85
235,chulman,56.84,0.46,89,92,2.75
236,sydney mines,46.24,10.0,66,75,5.7
237,fuling,29.71,16.76,100,88,0.9
238,faanui,-16.48,26.26,100,0,5.15
239,flinders,-34.58,13.0,71,90,7.7
240,bathsheba,13.22,29.0,74,40,7.2
241,atuona,-9.8,25.71,100,92,4.5
242,payson,40.04,12.49,56,90,3.1
243,kuytun,54.34,2.71,97,88,1.05
244,port hardy,50.7,10.0,87,75,2.1
245,san fernando,10.28,28.0,83,20,3.1
246,stephenville crossing,48.5,7.0,52,20,6.2
247,valparaiso,41.47,16.06,93,90,4.6
248,axim,4.87,25.81,100,64,2.65
249,kasempa,-13.46,20.11,35,0,3.4
250,lorengau,-2.02,26.86,100,68,2.95
251,laramie,41.31,6.7,70,90,11.3
252,vestmannaeyjar,63.44,5.91,97,80,8.05
253,kasane,-17.8,20.11,40,0,3.25
254,hutchinson,38.06,9.49,96,90,4.6
255,powell river,49.84,12.74,76,75,3.1
256,tura,25.52,20.71,93,0,0.95
257,byron bay,-28.65,17.0,77,88,4.1
258,galle,29.74,30.58,66,75,5.7
259,shache,38.42,9.01,76,56,1.35
260,awbari,26.59,28.46,20,92,1.65
261,hovd,63.83,3.0,93,75,2.1
262,thinadhoo,0.53,28.51,100,88,10.1
263,champawat,29.34,12.96,78,0,1.35
264,sambava,-14.27,23.01,100,12,3.7
265,mouila,-1.86,22.36,100,88,1.05
266,witu,-2.39,23.96,82,56,3.45
267,la palma,5.36,23.16,84,48,0.75
268,bereda,43.27,12.0,81,0,1.5
269,pangody,65.85,6.71,91,48,5.2
270,eenhana,-17.48,28.61,14,92,3.65
271,fortuna,38.18,21.5,83,0,2.1
272,nalut,31.86,18.86,58,0,3.7
273,khani,41.96,17.0,42,0,9.8
274,khatanga,71.98,1.56,96,88,0.95
275,verkhoyansk,67.55,-5.44,86,76,1.6
276,taltal,-25.41,19.96,74,88,1.35
277,chuy,-33.69,15.61,80,0,3.45
278,muisne,0.61,27.51,69,8,2.95
279,son la,21.32,15.76,95,0,0.85
280,maliq,40.71,10.11,100,8,1.1
281,adrar,27.87,29.0,16,0,2.6
282,muros,42.77,10.0,81,0,2.6
283,merauke,-8.49,21.51,100,0,6.9
284,aksu,52.04,8.0,56,0,4.0
285,te anau,-45.41,6.11,100,76,1.5
286,dubbo,-32.25,11.0,76,0,5.1
287,caravelas,-17.73,25.01,100,92,5.1
288,arlit,18.74,32.16,19,88,1.6
289,wahiawa,21.5,26.67,83,90,2.05
290,college,64.86,3.92,14,90,1.95
291,chara,39.42,12.0,93,20,1.4
292,zychlin,52.24,13.0,71,0,1.5
293,puerto narino,-3.77,32.0,66,40,1.5
294,barre,44.2,15.21,72,90,7.7
295,vardo,39.62,22.98,70,20,4.1
296,qasigiannguit,68.82,2.0,51,8,5.1
297,egvekinot,66.32,3.21,99,88,1.85
298,takoradi,4.89,24.81,99,12,2.0
299,arraial do cabo,-22.97,18.51,88,75,2.6
300,rock sound,24.9,28.51,100,12,7.6
301,bhadrachalam,17.67,23.21,95,80,1.6
302,darnah,32.77,23.61,100,0,2.8
303,dandong,40.12,3.86,79,0,1.05
304,brigantine,39.41,20.82,84,90,3.1
305,jablah,35.36,20.0,42,0,2.1
306,abu dhabi,24.47,30.0,84,0,2.1
307,hendek,40.8,9.0,100,0,0.95
308,praia,-20.25,23.65,69,75,6.7
309,mbandaka,0.05,23.01,96,36,1.2
310,samoded,63.61,4.21,89,68,2.75
311,chernyshkovskiy,48.42,3.91,67,0,2.6
312,uni,57.75,3.86,95,76,3.7
313,poum,41.28,8.81,87,20,0.7
314,ballina,54.11,3.26,100,0,2.4
315,prokopyevsk,53.89,3.86,77,0,2.5
316,xingyi,24.19,15.06,98,92,1.2
317,deputatskiy,69.3,-11.39,73,64,1.2
318,atikokan,48.76,7.46,78,80,2.1
319,whitehorse,60.72,4.0,93,75,2.1
320,brae,60.4,4.28,100,20,0.5
321,cabinda,-5.56,24.96,98,80,3.2
322,klyuchi,52.25,8.16,49,0,5.0
323,kholtoson,50.3,-6.64,79,0,2.6
324,springfield,37.22,28.3,63,1,6.7
325,gold coast,-28.0,17.0,77,92,4.1
326,sao joao da barra,-21.64,21.81,100,92,5.45
327,kaitangata,-46.28,8.91,92,56,7.6
328,baikunthpur,23.26,18.11,82,0,1.1
329,el alto,-16.5,14.0,44,75,6.2
330,taoudenni,22.68,25.46,24,0,3.25
331,foso,5.7,22.76,99,64,1.4
332,luderitz,-26.65,15.56,85,48,3.65
333,tshikapa,-6.42,22.66,95,36,1.15
334,sao borja,-28.66,22.76,77,12,3.45
335,zhigansk,66.77,-5.74,91,12,1.85
336,togur,58.36,8.36,64,0,4.0
337,torbay,47.66,9.0,61,75,2.6
338,mukhen,48.19,8.86,71,68,2.45
339,cherskiy,68.75,1.46,94,92,2.7
340,arman,59.7,2.0,51,80,4.0
341,norman wells,65.28,-2.0,68,75,8.2
342,tezu,27.93,17.61,66,68,0.75
343,cap malheureux,-19.98,21.0,88,20,3.1
344,provideniya,64.42,7.51,100,88,10.5
345,colac,-38.34,11.71,86,80,0.85
346,bronnoysund,65.46,5.0,75,75,4.1
347,kirakira,-10.46,26.66,100,92,7.0
348,cumra,37.57,13.0,43,0,5.1
349,san miguel,-34.54,20.34,45,0,5.1
350,emba,34.81,21.94,64,20,3.6
351,xichang,27.88,10.36,100,92,0.4
352,alta floresta,-9.87,29.0,66,40,5.7
353,bima,-8.45,21.81,100,0,1.5
354,katherine,-14.47,24.0,69,0,2.1
355,tual,-5.67,26.26,100,0,3.55
356,yeppoon,-23.13,20.0,88,68,1.5
357,ambanja,-13.68,17.41,96,20,0.85
358,praya,-8.71,25.0,88,75,3.6
359,saint-leu,-21.15,21.0,64,20,2.6
360,berlevag,70.86,-0.64,100,48,4.3
361,hay river,60.82,-1.0,68,75,3.6
362,vostok,46.45,5.01,87,64,0.85
363,mugur-aksy,50.38,-5.79,92,0,1.75
364,leningradskiy,69.38,2.26,98,92,4.45
365,santa cruz de tenerife,28.47,21.66,94,75,3.1
366,kavieng,-2.57,28.86,100,48,3.75
367,ossora,59.24,6.71,99,88,7.0
368,pisco,-13.71,22.0,30,40,5.7
369,nonantola,44.68,9.54,93,75,3.6
370,hofn,64.25,5.26,100,92,11.95
371,nacala,-14.56,24.21,94,8,6.85
372,harbour breton,47.48,11.41,90,0,3.25
373,bouna,9.27,21.11,97,24,1.4
374,gorodishche,53.27,9.71,97,92,4.05
375,norilsk,69.35,7.76,85,100,5.65
376,cizre,37.33,16.36,47,0,2.7
377,ciudad bolivar,8.12,32.36,57,12,3.85
378,sistranda,63.73,3.0,86,40,2.6
379,agadez,16.97,27.06,29,0,1.35
380,olinda,-2.03,28.0,61,75,1.5
381,grand-santi,4.27,34.36,33,0,1.2
382,dawson,39.85,20.94,84,1,2.6
383,kaoma,-14.8,22.11,32,0,4.9
384,kruisfontein,-34.0,18.01,94,88,5.65
385,morki,56.43,6.81,92,76,4.65
386,biak,-0.91,24.31,100,80,1.4
387,manadhoo,5.77,25.01,100,76,5.9
388,ostrovnoy,68.05,-1.99,92,0,6.1
389,havelock,34.88,28.36,76,90,3.1
390,beyneu,45.32,3.16,87,0,1.85
391,kununurra,-15.77,23.0,83,0,1.5
392,luzilandia,-3.46,23.46,99,44,0.9
393,sarangani,5.4,28.51,99,12,3.1
394,new waterford,40.85,26.32,74,75,2.1
395,kunnamangalam,11.3,25.0,83,90,1.5
396,jiazi,19.61,19.0,100,8,2.0
397,henties bay,-22.12,16.36,89,0,0.85
398,visby,57.64,10.0,87,92,1.0
399,praxedis guerrero,31.37,29.4,32,40,5.1
400,port hedland,-20.31,22.0,64,0,4.1
401,the valley,18.22,27.56,83,40,4.1
402,alice springs,-23.7,15.0,28,0,5.1
403,padang,-0.92,27.16,100,92,0.85
404,namibe,-15.19,20.11,100,56,4.45
405,ulladulla,-35.36,13.0,71,90,7.7
406,clearwater,27.97,31.31,49,40,7.7
407,hami,42.84,3.21,46,0,3.0
408,ulaanbaatar,47.92,0.0,80,75,6.0
409,dudinka,69.41,7.36,96,92,3.65
410,ambilobe,-13.19,18.61,79,20,1.35
411,millinocket,45.66,11.04,48,90,1.5
412,benghazi,32.12,25.61,98,24,4.75
413,trinidad,-33.52,19.0,52,0,4.1
414,springdale,36.19,28.32,62,75,6.2
415,cortez,37.35,18.3,32,75,6.2
416,port hawkesbury,45.62,11.0,57,1,3.6
417,sosua,19.77,27.35,74,75,9.3
418,provo,40.23,13.18,56,90,3.1
419,jinka,5.79,15.76,87,8,1.0
420,namie,37.52,24.0,83,40,5.1
421,prince rupert,54.32,10.0,93,90,5.7
422,adre,13.47,24.76,52,48,2.0
423,yashalta,46.34,2.06,82,0,2.4
424,farmington,36.73,17.69,28,1,4.6
425,hirara,24.8,27.31,98,0,3.8
426,jurmala,56.97,9.0,93,0,2.1
427,najran,17.54,23.0,29,0,1.4
428,guatire,10.47,26.66,79,44,1.1
429,normal,40.51,19.27,84,1,2.6
430,paramonga,-10.68,17.11,97,48,1.6
431,omsukchan,62.53,-4.14,80,92,4.9
432,gatesville,31.44,30.07,58,1,4.6
433,mao,19.55,27.53,74,40,7.2
434,port blair,11.67,27.46,100,80,7.4
435,manta,45.1,6.26,76,0,2.5
436,markapur,15.74,19.61,90,0,1.15
437,fernandina beach,30.67,30.47,61,40,3.6
438,daru,7.99,23.91,94,68,2.5
439,yulara,-25.24,19.0,32,0,2.6
440,frederikshavn,57.44,11.26,100,88,5.1
441,grindavik,63.84,3.47,100,40,6.7
442,sunndalsora,62.68,4.0,93,88,2.1
443,xai-xai,-25.04,19.56,100,0,4.35
444,barcelos,41.53,14.61,71,0,4.6
445,pachino,36.72,16.0,93,0,1.5
446,la peca,-5.61,19.36,100,92,1.1
447,puerto carreno,6.19,29.0,74,75,2.6
448,kaeo,-35.1,16.01,72,44,1.9
449,clonakilty,51.62,7.0,81,20,2.6
450,cravinhos,-21.34,19.66,99,92,4.3
451,yurginskoye,56.82,8.61,61,0,4.7
452,kolyvan,55.31,7.0,65,0,2.0
453,umea,63.83,2.0,74,0,2.6
454,edd,13.93,19.71,73,0,0.55
455,athabasca,54.72,6.96,59,80,3.8
456,timmins,48.48,4.0,100,90,1.5
457,santiago del estero,-27.8,29.36,28,24,5.0
458,mattru,7.62,24.41,95,44,2.2
459,alihe,50.57,-4.64,77,24,1.05
460,rio cuarto,-33.13,27.0,21,0,10.3
461,hoquiam,46.98,13.37,71,90,3.6
462,mhango,-2.75,19.96,56,20,4.25
463,mishelevka,52.86,2.96,89,76,3.1
464,janakkala,60.93,5.51,96,44,3.1
465,kalabo,-15.0,24.11,25,0,4.8
466,cape coast,5.11,24.01,95,88,0.25
467,jumla,29.28,-1.34,91,0,1.05
468,gombong,-7.19,20.96,96,48,1.05
469,chapais,49.78,1.0,80,90,2.6
470,mayo,63.59,0.0,63,75,1.65
471,dunedin,-45.87,9.61,73,44,2.9
472,krasnogorsk,55.82,11.0,81,0,7.0
473,gigmoto,13.78,26.41,100,56,1.9
474,meuselwitz,51.05,16.0,67,32,1.5
475,griffith,-34.29,11.11,63,0,5.2
476,sayyan,15.17,8.76,42,0,1.4
477,noumea,-22.28,22.0,73,0,1.0
478,belmonte,40.36,12.36,69,0,1.6
479,leh,34.16,-16.74,71,44,0.55
480,bud,62.91,4.0,93,92,1.0
481,mahibadhoo,3.78,26.61,100,88,8.7
482,terrace,54.52,7.0,100,90,1.5
483,nantucket,41.28,16.83,63,1,4.6
484,voskresenskoye,56.84,10.46,97,92,4.3
485,killybegs,54.63,7.46,100,12,4.2
486,warwick,41.7,17.66,67,90,2.6
487,dubinino,55.62,6.36,70,0,4.6
488,morristown,36.21,29.9,51,1,1.5
489,chateaubelair,13.28,30.47,58,40,4.1
490,katangli,51.71,8.71,97,36,6.0
491,nyanguge,-2.54,22.0,83,20,2.9
492,mabaruma,8.2,30.11,72,36,3.45
493,port keats,-14.25,23.86,68,0,4.35
494,dingle,11.0,23.66,97,8,2.55
495,pieve di soligo,45.9,16.5,100,75,2.1
496,hoi an,15.88,24.0,88,40,0.7
497,smithers,54.78,9.0,61,75,1.5
498,tuatapere,-46.13,8.81,100,88,5.8
499,cairns,-16.92,23.0,88,40,1.35
500,kaseda,31.42,23.21,100,88,4.7
501,mizusawa,39.14,18.96,94,76,2.1
502,namtsy,62.72,-6.34,86,0,1.5
503,maniitsoq,65.42,0.81,90,0,4.3
504,limulunga,-15.13,23.36,28,0,4.7
505,ferme-neuve,46.7,7.76,100,92,1.15
506,pathein,16.78,24.26,96,56,1.75
507,gorontalo,0.54,23.26,95,44,0.85
508,ringebu,61.53,-6.49,81,44,1.05
509,lockhart,-35.22,7.0,81,0,1.5
510,maragogi,-9.01,24.76,82,56,4.1
511,ofunato,39.11,21.86,89,0,5.7
512,rancho veloz,22.88,27.0,74,75,5.7
513,puerto colombia,10.99,26.0,94,40,1.5
514,puerto escondido,15.86,29.0,70,90,4.1
515,gordeyevka,52.96,10.11,72,0,6.95
516,puerto leguizamo,-0.19,26.46,89,48,0.75
517,nelson bay,-32.72,14.0,76,90,4.6
518,rio grande,-32.03,18.0,63,20,7.2
519,champasak,14.89,21.61,92,8,1.1
520,manakara,-22.14,22.56,91,64,5.9
521,kuusamo,65.96,-2.0,100,75,2.6
522,svetlaya,46.54,14.11,98,92,6.6
523,yumen,40.29,-3.89,63,0,0.65
524,victoria,5.28,26.49,94,75,2.05
525,san jeronimo,-13.65,14.66,45,32,1.15
526,peterhead,-34.83,14.0,67,0,2.6
527,hervey bay,-25.3,18.71,100,88,1.4
528,buala,-8.15,27.21,97,68,4.8
529,constitucion,23.99,24.0,47,90,5.7
530,mackenzie,55.34,8.0,52,90,3.6
531,okhotsk,59.36,-2.54,100,0,3.55
532,seoul,37.57,14.17,59,0,5.1
533,aklavik,68.22,-5.0,73,5,1.5
534,poronaysk,49.22,6.86,100,92,2.1
535,chumikan,54.72,7.56,87,92,5.75
536,teya,21.05,25.0,88,75,5.1
537,namatanai,-3.66,27.66,100,24,5.25
538,ust-tsilma,65.44,1.51,92,88,2.9
539,la ronge,55.1,-1.0,63,90,1.5
540,kalmunai,7.42,22.86,100,36,1.7
541,ventspils,57.39,11.0,93,88,0.5
542,soc trang,9.6,26.01,97,76,3.6
543,fare,-16.7,25.96,99,0,5.05
544,acqui terme,44.68,18.0,59,40,4.1
545,tautira,-17.73,28.0,58,75,2.6
546,dzhebariki-khaya,62.22,-7.39,83,0,1.3
547,peace river,56.23,3.0,59,75,1.75
548,banda aceh,5.56,23.21,100,80,1.05
549,derazhnya,49.27,10.61,65,0,6.15
550,shetpe,44.14,2.51,84,0,1.25
551,tamworth,-31.09,10.0,76,0,4.6
552,mount gambier,-37.83,14.36,84,32,2.05
553,podosinovets,60.28,6.46,94,92,3.85
554,lianyuan,27.69,10.31,79,8,1.05
555,ambovombe,-25.18,21.06,92,0,2.1
556,petatlan,17.52,33.0,63,75,4.6
557,sibolga,1.74,20.11,100,56,0.95
558,gambiran,-7.93,19.51,94,24,1.3
559,sevlievo,43.03,10.0,81,0,3.1
560,belaya gora,68.54,-3.99,98,76,2.05
561,husavik,50.56,4.61,100,8,2.5
562,avera,33.19,32.04,41,40,2.6
563,taree,-31.91,14.0,76,75,3.6
